F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,file,target
30.810024,0.1662631,27.08882,30.872606,34.566784,7.4779644,348.1296,603.7169,89.4874,131.83258,1.2630485,0.73861814,0.46842396,1.0187194,1.9564171,1.4879931,22.657902,12.422909,13.690066,10.732941,1.2124131,1.1160301,17.796062,0.792918,13.592701,0.8653878,7.3986588,2.1536503,-4.8705273,-3.2528565,0.030742632,2.172725,1.109229,0.68866533,5.646328,0.69407195,4.745546,2.2635725,23.753767,0.50619894,483.21564,0.30107945,1190.2607,0.1852831,-77.13583,-1.2042698,1578.9451,0.17746846,884.55676,0.510383,-84.33555,-0.98485076,2605.4277,0.09002046,866.8367,0.61644584,-85.54861,-0.9556425,-17.586222,-0.42680943,25.245718,0.34765854,-0.0043987515,-9.62196,-0.033406913,-0.4291378,1.4774874,0.8912453,24.31775,0.4244101,15.474382,0.7676885,8.103313,2.2667098,-9.679572,-1.7338051,-12.075993,21.56744,-0.056161195,-0.012212415,0.7304664,2.7809472,2.1127768,0.2972297,0.2889141,0.17363636,0.25606066,-20.130823,14_CF49_3.wav,0
28.135897,0.1553555,24.841627,27.798239,31.016962,6.175335,309.69107,564.19885,45.772713,49.177948,1.0979388,0.6470165,0.3797315,0.99916065,1.6901283,1.3103968,15.113949,8.571488,11.957221,7.121718,0.7370348,0.8355415,23.111,0.5866509,7.057721,1.7619673,8.873513,1.6973014,-11.779466,-1.3717307,0.028475834,1.5358231,1.1322899,0.74517447,4.9307323,0.74258626,0.15190944,60.588154,21.195547,0.45244592,401.8166,0.2776078,1130.7456,0.17668422,-52.535725,-1.606104,1390.302,0.14721891,802.7002,0.32641694,-59.803123,-1.2879314,2454.6877,0.08395148,635.77045,0.39748764,-65.36233,-1.1267172,-14.47319,-0.41518626,24.593548,0.25753385,0.020881565,1.6738124,-0.027749345,-0.47393093,0.9084655,0.66602194,28.70931,0.32172284,5.7476296,2.2318795,11.488582,1.3827705,-16.055422,-0.99137235,-10.296495,20.176046,-0.03881817,-0.010134149,0.20042223,3.7276134,1.5426309,0.48337835,0.39541385,0.16353846,0.26281568,-23.292845,49_CM54_4.wav,0
32.693546,0.14861156,29.940346,32.75256,35.854897,5.914551,304.26385,540.8874,269.6138,846.96094,0.79065627,0.6450681,0.31839675,0.6984289,1.2181731,0.8997764,13.6611805,7.2041807,11.353096,7.527269,0.6811098,1.9802624,21.389656,0.68100303,13.272808,0.9141682,2.509869,5.8920474,-15.694739,-1.1345987,0.032809895,2.0974898,1.392256,0.7205797,6.386876,0.6623181,3.0483544,4.75917,24.901262,0.71342003,509.78082,0.3386871,1233.7693,0.17936847,-60.31393,-1.4315817,1566.8408,0.22332907,953.72455,0.4429174,-64.92916,-1.1746657,2612.3813,0.11706911,796.7418,0.55945784,-69.318665,-1.0578132,-17.266724,-0.38043717,26.429634,0.30737516,0.012665834,3.544244,-0.033568457,-0.39303675,0.7855169,1.6535504,26.843067,0.39535996,12.711134,0.94009006,1.7755734,8.928875,-21.65321,-0.73657066,-13.317573,22.353348,-0.052998055,-0.0106898695,0.38398963,4.3773584,2.3431597,0.30795696,0.3002671,0.11894737,0.14963621,-24.560764,05_CF41_3.wav,0
33.46717,0.108383164,31.37474,33.576786,36.1817,4.806961,156.21748,195.90741,53.492264,135.30556,0.49464315,0.4811127,0.32174182,0.44014,0.63184434,0.31010252,5.899611,4.8558574,3.6803138,3.4382029,0.2163087,0.7609365,18.739607,0.55005634,13.272749,0.7019935,4.514589,2.3462024,-0.9778206,-9.50968,0.025214974,1.9424335,0.9657538,0.594436,7.4696417,0.4664663,7.5899963,1.0389223,25.729364,0.30395594,435.87048,0.28614292,1210.1467,0.16102418,-53.99953,-1.562933,1474.9143,0.13953875,949.9698,0.34947237,-63.071983,-1.1464323,2495.669,0.08019089,830.3497,0.425363,-65.89739,-1.0721651,-16.965769,-0.3256453,25.887568,0.26750404,0.018577237,1.7119057,-0.02406926,-0.3921093,0.24276066,0.7115486,22.77015,0.30643067,14.742405,0.62145966,4.7446375,2.3917577,-2.191472,-4.3971434,-8.039326,17.071884,-0.024585992,-0.009638558,0.12768789,2.0326166,1.5857989,0.4776119,0.4743199,0.14999999,0.17836355,-34.76623,36_CF59_2.wav,0
28.805117,0.13568093,27.308159,28.982166,30.77551,3.467352,285.28055,480.25742,91.823204,213.34184,0.60585934,0.49124646,0.30398062,0.58950174,0.86542237,0.5614418,6.538983,3.4675052,5.1168876,2.87823,0.25750828,0.64278984,17.951515,0.7936223,11.537039,0.77147835,11.15685,1.0612872,2.3049524,4.5872073,0.027299043,2.0953326,1.0267256,0.73689324,6.132342,0.62012124,-1.7432673,-6.602688,19.407942,0.48141962,466.3219,0.39429668,1192.0094,0.20533088,-64.78865,-1.3274013,1438.2223,0.16780475,918.41846,0.3221483,-73.22116,-1.063211,2456.44,0.108305655,691.35175,0.34155983,-75.90284,-1.0003641,-15.712155,-0.38943818,23.246567,0.31305557,0.008724727,4.0203967,-0.02012514,-0.66754675,0.30366287,0.53358227,24.300581,0.4265008,14.073096,0.55207276,13.467019,0.9167236,1.9753524,5.7758307,-6.2002316,15.862215,-0.03200968,-0.0010665337,0.14213829,3.8493903,1.7687935,0.39464286,0.40967014,0.1719178,0.22485714,-31.665005,24_CM63_3.wav,0
33.00261,0.14931007,30.852749,32.746674,36.266205,5.413456,171.53897,194.40433,71.46331,109.26251,0.5871208,0.52797383,0.3295057,0.5049726,0.81551766,0.48601195,8.130569,4.9480367,6.265476,3.6067126,0.32090074,0.78613573,17.484653,0.6845162,11.209638,0.86775875,-0.7538902,-14.685029,-14.765744,-1.0257424,0.031114573,1.9084285,1.2174765,0.6927923,6.0997934,0.6433937,-0.26301163,-40.812412,22.422283,0.5025374,506.0224,0.28336734,1222.9689,0.1594064,-65.928246,-1.3607603,1551.4626,0.20167093,987.0529,0.4019449,-72.57652,-1.1017488,2594.1006,0.10032703,758.2658,0.4639385,-75.75465,-1.0239426,-16.033384,-0.32173672,24.718906,0.25644118,0.0050385958,6.341793,-0.03515068,-0.390394,0.3897705,0.687182,22.74992,0.38132295,10.773973,0.9042769,-0.8980342,-13.010632,-20.590761,-0.64688784,-10.836068,19.977736,-0.038086373,-0.013607461,0.16333288,4.1216664,2.956752,0.22574626,0.18782486,0.102,0.106525436,-32.305466,46_CF39_3.wav,0
32.56497,0.11351826,29.563425,32.23459,35.53871,5.9752865,150.26219,262.24982,102.69584,271.6855,0.577645,0.64982104,0.28026757,0.48044965,0.82502264,0.5447551,9.642457,5.7588134,7.2490134,4.6877813,0.31066504,0.8815085,21.547695,0.7004872,11.753605,1.0497776,-0.39326495,-32.64459,-10.9542885,-1.3039016,0.022339435,1.5932817,1.1807765,0.77801764,7.0496964,0.48601228,1.4843434,5.0230284,24.628517,0.32092708,500.781,0.2981333,1256.1566,0.16749549,-55.075417,-1.5344023,1529.0153,0.21002321,998.0078,0.3992211,-62.624317,-1.1977373,2595.8044,0.10025473,793.519,0.5185558,-67.036354,-1.0762068,-17.067102,-0.39577404,26.14172,0.29327428,0.011697835,3.092358,-0.033850126,-0.4264194,0.36946997,0.7792215,27.281952,0.4064149,11.853869,1.0303748,-0.4861332,-28.000582,-15.168534,-0.8530138,-11.363218,21.310257,-0.043206293,-0.007812748,0.12991744,4.160548,2.082823,0.35364702,0.328393,0.11906666,0.11573732,-31.674116,09_CF56_3.wav,0
30.692087,0.16049927,28.762978,31.349823,33.684917,4.92194,214.36974,250.84837,102.14789,106.51737,0.74452424,0.5917707,0.38468176,0.64217484,1.0444412,0.65975946,10.967458,6.0814805,8.148665,4.787706,0.36711517,0.66046745,16.124565,0.7516673,10.158701,0.92881453,0.7090428,16.231592,-5.6404696,-2.2600467,0.038909048,2.1773431,1.1215354,0.7907789,4.9668245,0.8892165,2.4148471,3.4578063,19.930067,0.52191883,486.29373,0.29204842,1222.7758,0.17767897,-70.30415,-1.2715491,1528.5945,0.17448789,969.46704,0.42870638,-76.46514,-1.0676731,2571.0867,0.09292629,832.5672,0.6132274,-78.33215,-1.0235538,-12.943043,-0.43423277,20.190037,0.36274597,0.011942475,2.6176739,-0.030535003,-0.366678,0.4366454,0.56418586,21.493813,0.4171951,10.1568575,0.97836095,0.48743674,25.424204,-10.0865345,-1.1906149,-10.937602,19.863873,-0.044105947,-0.011038283,0.22411858,4.019025,3.0238094,0.2135433,0.2016371,0.119603954,0.13976587,-30.944796,11_CF44_2.wav,0
32.21881,0.1559934,30.535908,32.705677,35.581684,5.0457764,261.1304,430.87744,130.40204,319.7549,1.1972948,0.7034843,0.4514057,1.0234051,1.818334,1.3669283,22.708744,13.286612,17.933723,11.118749,0.8802111,0.8644282,18.056349,0.80191296,6.357487,1.8934165,12.885459,1.2302016,-4.98642,-3.2101243,0.03598074,1.9133002,1.3556539,0.8284928,6.194082,0.66660666,6.528315,2.0314915,20.54936,0.58492714,498.32962,0.33957186,1210.7306,0.19419445,-74.850136,-1.1633581,1570.0107,0.16115013,889.6615,0.5376682,-78.174194,-1.0038928,2605.3347,0.09989589,885.92017,0.573517,-79.760315,-0.96936804,-13.817828,-0.51260644,21.483007,0.40261889,0.0086860275,4.3565726,-0.025080686,-0.55607265,1.1061666,0.6981047,24.381132,0.4538079,6.9229574,1.8514898,15.946749,1.078074,-9.695868,-1.705766,-7.172971,15.865049,-0.035885744,-0.0065858597,0.38842013,4.3382354,2.6993866,0.24536364,0.19443008,0.12010527,0.13561162,-22.741116,28_CF34_3.wav,0
27.649982,0.19867246,23.078114,29.553932,31.441502,8.363388,240.10303,277.60995,145.24622,232.07065,0.618027,0.57582545,0.32258472,0.53675467,0.8565952,0.5340105,8.160571,5.058995,7.050856,4.3621473,0.27788338,0.6795782,14.099159,0.903484,10.778668,0.9231297,3.5932152,3.1420507,-2.0396655,-5.3475266,0.050719257,2.074607,1.3429857,0.6959333,3.9397588,1.0469928,4.290929,1.8522223,21.012629,0.41396677,457.81137,0.28861156,1205.8656,0.19154721,-71.68082,-1.28244,1530.8434,0.1393601,894.82587,0.4200536,-79.8316,-1.0596141,2556.2402,0.09155021,949.8196,0.5993938,-82.136955,-1.0080552,-13.536685,-0.3613248,21.617764,0.31842673,0.004068918,8.313646,-0.025841853,-0.4192014,0.3356257,0.5877117,20.726416,0.3848051,10.862582,0.87633854,4.1152334,2.9931357,-4.6523943,-2.452024,-6.944278,15.274241,-0.032631733,-0.0086243125,0.16846843,3.665903,2.5860271,0.24387096,0.21800674,0.13603602,0.17949517,-33.512783,17_CF55_3.wav,0
