F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,file,target
34.304497,0.11107611,32.74971,34.67774,36.726177,3.9764671,298.48294,526.95715,60.648705,112.725914,0.97279644,0.56962067,0.50392723,0.84786975,1.3532485,0.84932125,14.191737,7.3379045,12.203793,7.380975,0.85360825,1.2007089,18.854025,0.6098841,7.1391296,1.7652577,3.840548,3.6207507,-1.9850731,-6.33567,0.025481226,2.0532322,1.2170113,0.6340592,6.610213,0.6149441,2.7943437,5.038764,17.259651,0.57826775,451.25906,0.30304912,1159.7377,0.1621932,-68.14247,-1.2766593,1492.4113,0.15637426,866.02954,0.37515995,-67.90318,-1.1514285,2484.7205,0.08062779,806.8295,0.48476383,-70.7013,-1.0779818,-12.909901,-0.45337072,22.099625,0.31556076,-0.00854948,-4.998987,-0.019597817,-0.5591382,0.86480236,1.0856192,23.179466,0.35013437,5.037052,2.3149507,3.321611,4.635498,-4.8676715,-2.5067456,-11.041406,19.624743,-0.049542226,-0.010371922,0.83014345,4.9030175,2.7522938,0.25264704,0.23949674,0.1045977,0.11621228,-24.970753,29_PF42_3.wav,1
23.50201,0.16766016,20.79374,23.301208,25.950043,5.1563034,260.3737,279.86517,56.637447,81.126495,0.8652076,0.5375726,0.4070827,0.8269235,1.2570587,0.84997606,11.390519,5.3491693,7.504251,4.1392555,0.6266262,0.53966403,25.542755,0.5078252,11.8758745,0.8373508,2.79287,4.1881084,12.022544,1.0558832,0.033736784,1.3657299,1.2052991,0.73216105,2.7026916,1.1638155,-0.16396292,-46.81265,20.586172,0.51195186,447.7029,0.32394412,1249.6366,0.16568492,-52.379723,-1.5255613,1426.4016,0.1549906,978.37573,0.2998469,-62.03077,-1.1931509,2425.249,0.11109169,899.0099,0.32351005,-67.38032,-1.0548283,-15.774826,-0.40991428,26.817438,0.28596798,-0.018369278,-1.6792887,-0.024503913,-0.5612171,0.7053249,0.45630157,30.498402,0.29124606,11.355557,0.89378786,2.381309,5.269207,11.220676,1.2163152,-14.996696,26.799505,-0.059970506,-0.0025953962,0.37629265,4.1112957,1.9330701,0.38537636,0.41648182,0.13,0.17480548,-26.630955,02_PM65_2.wav,1
26.906971,0.16717291,23.891281,27.174515,29.836409,5.9451275,170.40942,473.08142,38.508793,42.627533,0.69905466,0.98084074,0.19381298,0.4423053,1.1346263,0.9408133,11.153793,8.794103,8.043883,6.7453876,0.4438921,1.325031,20.713673,0.74030274,14.074675,0.6122814,10.020641,1.2048199,9.904,1.1451005,0.026863642,1.8263677,1.1026244,0.7916048,5.6182957,0.71194476,1.9157857,5.481637,23.46736,0.41484874,466.26477,0.40861985,1168.6855,0.20063576,-73.369774,-1.2000865,1459.4071,0.17324798,857.94855,0.32329315,-81.63471,-0.98444074,2453.5332,0.12640253,785.38306,0.32706872,-85.57028,-0.9056004,-17.678427,-0.38739952,27.559055,0.29699323,-0.0012464329,-32.416656,-0.019200116,-0.7401328,0.5952153,1.0812914,27.854702,0.43721813,16.960373,0.45754594,11.304209,1.2163699,10.358036,1.2537937,-9.475135,19.76891,-0.0408254,-0.00045398757,0.12882358,1.7784625,1.3873318,0.47868687,0.43591923,0.25114942,0.37637845,-22.763132,72_PM53_1.wav,1
21.11136,0.13035487,19.503397,21.259344,22.88522,3.3818226,181.18921,243.24489,33.704483,45.76165,0.44171572,0.50556475,0.23286915,0.41467908,0.59453547,0.36166632,4.965751,3.31156,3.2002244,2.2698424,0.2548638,0.59448755,23.70424,0.48328814,16.945566,0.49922046,0.8680738,13.688783,4.2141676,2.5351672,0.024321556,1.266653,1.1338093,0.7089615,2.303256,1.4424586,2.5003574,3.983311,28.501024,0.3454743,445.70816,0.26403305,1254.2759,0.15136406,-58.751514,-1.4270624,1432.228,0.12870032,1024.2548,0.3065017,-69.395645,-1.1140199,2553.111,0.09280067,1079.8455,0.41515014,-78.63865,-0.91009223,-18.922039,-0.35043278,33.10174,0.1728589,-0.0161043,-2.1095538,-0.02099345,-0.5803069,0.2971275,0.49805474,29.117188,0.25279605,18.866646,0.44765133,0.96979505,13.267978,2.6666658,4.310153,-12.149384,24.189995,-0.04878592,-0.0012437003,0.14173612,3.224597,1.8393394,0.38704082,0.4387929,0.15124999,0.24833907,-34.022346,71_PM68_1.wav,1
32.941402,0.14356793,30.827385,32.86906,36.1092,5.2818146,127.842804,184.14941,87.42706,173.41554,0.8108405,0.69026566,0.3029091,0.67320275,1.2457968,0.94288766,11.126222,5.6733975,7.088625,4.1231146,0.47254702,0.75189143,16.994534,0.7446911,13.23271,0.7998555,4.562175,3.0559225,-4.8423347,-2.8121274,0.029651672,2.4591,1.0830692,0.6687013,6.5870843,0.59417397,3.86657,2.346916,20.582308,0.4926962,492.8424,0.2980167,1194.5441,0.21290286,-63.918583,-1.3960955,1569.7307,0.1642963,914.8978,0.4643863,-71.23015,-1.118512,2551.2234,0.09770401,857.29565,0.4931151,-72.020515,-1.0962306,-15.82738,-0.43251663,22.68553,0.3982672,-0.003023975,-12.31875,-0.03941484,-0.33822072,0.5802258,0.60690683,22.347116,0.42190245,12.8916445,0.8376375,3.5144024,4.4647155,-8.59222,-1.5837883,-11.815947,20.935303,-0.054876857,-0.012956075,0.20751165,3.1183083,1.7814091,0.39165413,0.34148982,0.18364486,0.3139153,-27.942385,51_PF58_2.wav,1
29.878908,0.1284769,27.817947,30.270767,32.500263,4.682316,131.3977,185.73248,53.802177,72.41035,0.70880175,0.5339751,0.40083623,0.6110333,0.9763465,0.57551026,8.601064,4.301286,5.60301,4.0377817,0.41720313,0.6581257,25.39974,0.37282223,6.0369744,1.6889653,-6.8793073,-1.8634702,-4.4882236,-2.2926705,0.040047556,1.891438,1.3227185,0.6322445,3.8705287,0.98335236,-1.0490898,-7.360931,21.232862,0.4108641,488.86258,0.24269769,1293.4205,0.17179441,-45.979935,-1.7464831,1472.5696,0.11910265,1141.5935,0.2998547,-54.665836,-1.366966,2466.787,0.10941512,1098.025,0.39875618,-61.901394,-1.1456572,-14.164556,-0.3966839,26.737694,0.24358882,-0.0010962817,-28.49857,-0.026145773,-0.4190586,0.47570753,0.5789198,28.603346,0.26110384,6.398256,1.6355901,-7.569821,-1.8311769,-6.215577,-1.6248877,-11.19855,23.413351,-0.037346635,-0.011652153,0.20881614,3.3182232,1.6333939,0.46922222,0.50658166,0.14743243,0.19755305,-30.576567,03_PF66_3.wav,1
26.69837,0.15557884,23.7597,26.358969,30.150402,6.3907013,264.72287,349.4391,70.74277,74.4769,1.139469,0.58649063,0.52787334,1.0419664,1.6329892,1.1051159,14.0231905,7.4596205,11.021507,7.567063,1.0721451,0.66951394,29.391216,0.37535214,10.755646,1.0499207,2.0854619,6.7321963,-4.323001,-2.7270832,0.047816858,1.7567472,1.2992613,0.61519676,2.6003027,1.4785957,3.0852768,3.5471323,24.644053,0.39233857,461.80188,0.33994082,1317.0927,0.1553623,-47.117786,-1.6877838,1438.1849,0.18149973,1039.3098,0.26245543,-56.306328,-1.2999682,2476.5916,0.11626368,808.4077,0.3891022,-62.44955,-1.1172175,-16.830324,-0.3674558,26.711027,0.25505728,-0.0025762257,-12.760099,-0.027376624,-0.40158275,1.2355553,0.56643003,32.997005,0.24710898,9.285196,1.2501278,2.0853992,7.3022294,-5.3518023,-2.344578,-15.598443,26.063433,-0.030744499,-0.015375723,0.48575738,3.4505494,2.002641,0.3817582,0.4557847,0.1177027,0.15146622,-22.470066,52_PM53_4.wav,1
29.83915,0.2475756,24.534176,31.789515,34.712906,10.17873,486.37564,700.5517,203.92628,571.68774,0.46567127,0.73661774,0.19530323,0.38892344,0.69527966,0.49997643,8.557194,5.6424365,6.612704,4.3886714,0.5383239,2.0393677,17.848299,0.7218344,9.479782,1.4226422,7.6629033,1.728475,7.7185526,1.3643476,0.047319964,2.3874128,1.3865546,0.7144935,3.6535609,1.7423009,2.9423208,7.6312084,17.271946,1.1177665,492.33716,0.37852705,1226.4744,0.19849046,-89.40555,-1.0114461,1538.743,0.15187413,876.3568,0.4204547,-90.59987,-0.9250415,2608.508,0.08841702,882.44885,0.49975124,-93.555,-0.86734295,-14.616673,-0.5028446,24.019432,0.3629973,-0.02282233,-1.928611,-0.017038291,-0.68537074,0.51627076,1.9396206,22.843185,0.42415452,10.206641,1.2487354,6.2081184,2.402505,6.9079266,1.6811649,-14.55119,24.621778,-0.059191845,-0.007890676,0.56688356,2.7027028,3.33025,0.17305554,0.17761646,0.11687023,0.14883815,-27.897953,25_PF36_4.wav,1
35.182697,0.12257028,34.157658,35.701485,37.975574,3.8179169,164.31897,170.48705,132.4932,400.57907,0.8872352,0.47084427,0.50724685,0.8370028,1.2194111,0.7121643,10.977815,5.644919,7.656852,4.021071,0.5662354,0.64817,25.49578,0.45111862,6.955969,1.6454453,4.318166,3.462333,-15.643813,-0.98500186,0.033800565,1.8848186,1.0352072,0.73054653,7.422714,0.58951706,7.0691676,1.759171,25.78067,0.49927133,605.56647,0.30146176,1313.4042,0.16555192,-46.177086,-1.58078,1622.0079,0.18484835,1067.1111,0.39596772,-52.694126,-1.2169453,2725.5618,0.12887709,862.12524,0.66303724,-59.033806,-1.0336132,-15.979997,-0.43373415,27.120174,0.2857336,0.016944455,1.8768212,-0.026026957,-0.54139906,0.6278654,0.57307106,28.788511,0.30374008,7.518986,1.5755804,4.0601935,3.9042068,-18.191381,-0.83191186,-8.594668,17.883108,-0.02481027,-0.008832631,0.27890784,4.1468954,1.8801653,0.43186814,0.4020413,0.10681818,0.15537012,-26.554066,14_PF35_3.wav,1
29.60199,0.180447,27.559246,30.531788,33.225903,5.6666565,234.52036,286.57483,130.75037,274.3159,0.18994078,0.76865995,0.068269886,0.15022741,0.28769672,0.21942684,3.912684,2.376251,2.856857,2.0237093,0.13467973,2.3966665,14.926633,0.8191984,11.024102,1.0329902,12.938189,1.0477433,1.3478984,10.941942,0.039223608,2.5926943,1.2420241,0.80437624,5.0035753,0.9911294,2.9314659,5.4544525,17.819883,0.83756495,449.06418,0.33715865,1085.9551,0.21251297,-112.549194,-0.8070301,1506.616,0.15569057,696.76886,0.49424872,-115.19051,-0.7394744,2583.2463,0.07805891,731.0852,0.580163,-116.901985,-0.7124223,-14.815971,-0.5012589,23.33668,0.36930203,-0.018033046,-2.4592347,-0.01867862,-0.61130595,0.14461006,1.6895894,21.334492,0.4007869,10.658313,1.0814787,14.756661,1.0334784,-6.0010376,-2.5869296,-14.615162,24.117037,-0.053079296,-0.0069400594,0.12612972,3.8768988,3.2826262,0.13469511,0.10212631,0.15634614,0.219443,-38.940384,68_PF43_3.wav,1
