F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,file,target
30.55052,0.13144457,27.363289,30.496315,33.83782,6.4745293,110.44827,149.2565,100.31641,249.64879,0.60591394,0.6518706,0.30155137,0.48455977,0.85544944,0.5538981,8.976851,4.991937,6.053214,3.9199283,0.31013724,0.8455599,16.09833,0.80209786,11.803951,0.9475747,2.3929975,6.002382,-5.1232452,-2.4894476,0.030340925,2.0367005,1.1431397,0.6594348,5.380397,0.6538031,2.7123618,2.7677438,21.358585,0.4350661,515.729,0.2776831,1295.2433,0.18041663,-63.29752,-1.400844,1556.2173,0.17866622,1101.591,0.42871538,-71.23137,-1.1358349,2559.5479,0.10720079,816.2938,0.50532824,-73.06152,-1.0869681,-14.594277,-0.44666108,22.562677,0.36968207,0.0067195655,5.507137,-0.031052597,-0.45942256,0.37847844,0.7414992,22.015718,0.4033624,12.384032,0.95878685,1.8673567,8.558282,-8.197842,-1.5671908,-10.943827,20.000135,-0.044382337,-0.008792633,0.14802144,3.215373,2.171015,0.3144737,0.29601768,0.13590476,0.16415842,-31.858036,31_CF55_2.wav,0
34.73379,0.09232073,32.5391,34.57099,37.20632,4.667221,106.536415,160.88966,40.4019,31.118969,0.35184017,0.6619934,0.16489345,0.29011506,0.5214168,0.35652333,5.3149652,3.1913357,3.4961545,2.438058,0.14147334,1.0143584,27.67324,0.4524705,7.4092307,1.6393553,0.18860443,93.01367,-17.674837,-0.8649877,0.025688069,1.8917098,0.96832275,0.7890421,8.207751,0.48059246,3.3839998,2.7898104,25.64864,0.36137924,585.9808,0.31551072,1309.7946,0.17333719,-46.50493,-1.6608616,1632.543,0.2007891,966.5071,0.4581001,-52.935425,-1.2897335,2712.83,0.09774555,803.4004,0.47012997,-58.14183,-1.1248771,-17.04494,-0.37044972,27.586864,0.3048781,0.03645255,1.033925,-0.032670747,-0.4133025,0.16414416,0.89834154,31.553598,0.29152825,6.9995065,1.8075128,-0.08515067,-220.51718,-19.936707,-0.774499,-11.207944,19.898127,-0.009578498,-0.018167375,0.042066794,3.3997655,1.2910799,0.6237879,0.60792935,0.14741379,0.12526606,-36.795914,65_PF41_3.wav,1
28.805117,0.13568093,27.308159,28.982166,30.77551,3.467352,285.28055,480.25742,91.823204,213.34184,0.60585934,0.49124646,0.30398062,0.58950174,0.86542237,0.5614418,6.538983,3.4675052,5.1168876,2.87823,0.25750828,0.64278984,17.951515,0.7936223,11.537039,0.77147835,11.15685,1.0612872,2.3049524,4.5872073,0.027299043,2.0953326,1.0267256,0.73689324,6.132342,0.62012124,-1.7432673,-6.602688,19.407942,0.48141962,466.3219,0.39429668,1192.0094,0.20533088,-64.78865,-1.3274013,1438.2223,0.16780475,918.41846,0.3221483,-73.22116,-1.063211,2456.44,0.108305655,691.35175,0.34155983,-75.90284,-1.0003641,-15.712155,-0.38943818,23.246567,0.31305557,0.008724727,4.0203967,-0.02012514,-0.66754675,0.30366287,0.53358227,24.300581,0.4265008,14.073096,0.55207276,13.467019,0.9167236,1.9753524,5.7758307,-6.2002316,15.862215,-0.03200968,-0.0010665337,0.14213829,3.8493903,1.7687935,0.39464286,0.40967014,0.1719178,0.22485714,-31.665005,24_CM63_3.wav,0
22.344229,0.122593515,20.597366,22.142448,23.983795,3.3864288,132.75136,178.68063,64.17912,113.96173,0.67925173,0.5010474,0.39162096,0.60413,0.9512384,0.5596174,9.216115,4.736022,7.934826,4.7862844,0.774187,1.1374887,21.806162,0.5312179,8.9220085,1.0533292,3.5801196,3.1654992,-1.6044332,-7.920833,0.028249377,1.5314506,1.5231122,0.6348459,1.2502182,2.7189517,1.2299379,5.863906,18.447247,0.5049113,483.28482,0.36696932,1256.2642,0.15831088,-69.123795,-1.3474554,1477.7167,0.1718382,981.098,0.2953034,-76.47071,-1.1398295,2522.7812,0.11843891,843.8754,0.37441316,-81.18521,-1.0310454,-15.6221,-0.3701784,26.004473,0.25775728,-0.0042839083,-8.971216,-0.023237305,-0.5125969,0.70973355,0.85497445,26.969048,0.30399507,7.2752576,1.3308411,3.8308277,3.083646,-4.9273477,-2.576767,-19.579693,30.371828,-0.066893004,-0.012954682,0.89348155,4.670051,2.668361,0.23438095,0.23922859,0.13178948,0.15604302,-26.656347,38_CM27_3.wav,0
35.2629,0.11794561,32.831944,34.966213,37.734062,4.9021187,244.95511,528.0996,65.825035,162.28563,1.0761003,0.74706155,0.4401871,0.8556921,1.5935818,1.1533947,19.651573,12.37391,13.532801,9.979204,0.70112693,1.0171762,19.353617,0.7976793,6.1193905,2.3841243,13.606995,1.0708237,-9.184818,-1.9099257,0.019664247,2.0691614,0.98433566,0.9817675,9.207876,0.42436752,5.7710648,1.6660447,19.876467,0.5407869,564.47534,0.3764816,1259.3687,0.19833496,-72.34936,-1.1751772,1657.2296,0.18536481,953.9062,0.54587954,-73.025154,-1.0273042,2660.7454,0.1251983,915.5014,0.6301406,-74.58307,-0.98799217,-15.764508,-0.49370047,23.908525,0.39420438,0.014398466,2.8459213,-0.026805378,-0.5433439,0.85752505,0.88613254,25.873514,0.45350844,6.75901,2.304536,15.002666,1.064217,-14.39578,-1.2150162,-7.2172165,15.726041,-0.050748304,-0.0048765326,0.28796163,3.4763165,2.157102,0.32801887,0.26063576,0.12778948,0.16725132,-23.02741,22_CF50_3.wav,0
34.14339,0.08425125,33.092583,34.200615,35.70251,2.6099281,137.30524,283.3753,67.67903,116.32926,0.8668415,0.41583338,0.55218595,0.81986,1.1458642,0.5936783,9.849097,5.5143785,7.299264,4.7472796,0.5823171,0.53568095,22.914452,0.43141547,11.615872,0.75708896,1.5948806,7.83799,-6.4002438,-1.8797873,0.034613837,1.5412878,1.334677,0.528972,5.5772495,0.63302946,5.5997767,1.4760376,23.238317,0.373682,544.4675,0.30087557,1296.304,0.16575915,-34.80454,-1.8960974,1615.7842,0.164891,1020.7499,0.40205723,-45.763718,-1.2712401,2646.965,0.11190497,979.3784,0.45831168,-50.218815,-1.1185182,-15.828611,-0.30462703,24.808002,0.28200048,0.0018146889,17.66153,-0.030943576,-0.36614275,0.61919624,0.506568,25.020155,0.32577285,11.252509,0.78111124,1.6362634,7.9641175,-7.957331,-1.488504,-11.365589,19.722828,-0.025413873,-0.01973502,0.3607983,4.300828,1.9341469,0.43607143,0.4542314,0.07202899,0.07070206,-28.276869,48_PF43_3.wav,1
31.779684,0.10579484,29.316877,31.52817,34.098545,4.7816677,69.824745,71.150505,43.122665,90.094574,0.46008825,0.47086984,0.25995862,0.41484633,0.6289233,0.36896467,6.213023,3.3864539,4.528891,2.854159,0.29855856,0.57637435,16.397352,0.6778066,15.223655,0.59026676,3.0896668,3.0702772,-5.602568,-2.1167471,0.025801545,2.0424607,1.1966507,0.6536965,6.7093987,0.43793464,0.22608326,32.73463,24.326403,0.27965873,463.37164,0.20295112,1154.1978,0.1566964,-70.49607,-1.3151689,1544.8292,0.14335947,1007.61035,0.3497026,-82.671524,-0.9968654,2586.396,0.07319275,748.4957,0.48033231,-84.50935,-0.9571319,-18.999508,-0.26959467,27.221277,0.2443448,-0.0071940934,-4.6847553,-0.03412193,-0.32489142,0.3393159,0.51722324,21.883713,0.37767553,16.058388,0.5550973,3.3214977,3.128411,-10.949365,-0.95483935,-17.868164,28.475403,-0.06569602,-0.01135597,0.22447076,4.890388,2.7300873,0.2284536,0.22345157,0.1316279,0.17996679,-34.067528,57_CF25_3.wav,0
30.053246,0.110543005,27.585972,29.894035,32.946674,5.3607025,202.906,421.84766,50.536896,105.01174,0.5171595,0.5945858,0.25285402,0.4461632,0.7326505,0.4797965,7.004,4.802118,4.923281,3.4283633,0.20885643,0.8223739,17.608128,0.6716028,8.923697,1.1714262,7.2551274,1.7728803,-3.9071348,-3.576144,0.021266682,1.8493114,1.0827199,0.67210025,5.66003,0.60339546,3.9201076,2.5220942,21.30997,0.39579114,438.4464,0.32156447,1192.334,0.17007515,-62.238396,-1.4115449,1489.788,0.15679935,857.3587,0.4000629,-69.23332,-1.1560813,2491.6682,0.09624023,805.0891,0.39740717,-71.86721,-1.0892761,-13.090475,-0.37973213,22.106352,0.31356943,0.0077659125,4.6540093,-0.024166984,-0.47051197,0.245742,0.73150975,23.023552,0.34555715,8.095365,1.3723174,8.178935,1.7386538,-7.83826,-1.7696785,-9.326449,18.802092,-0.03834288,-0.0063768444,0.116384275,2.7168992,1.6678753,0.42032608,0.4033594,0.1675862,0.22715108,-35.10184,47_CF61_2.wav,0
33.38012,0.14123029,31.487211,33.45146,36.54998,5.062769,159.7404,328.48993,66.64741,95.61277,0.5100989,0.47309178,0.3082409,0.4574634,0.6783734,0.3701325,6.399854,3.539191,4.796074,3.0749645,0.2538837,0.6743625,21.08743,0.54739374,11.170207,0.817235,-2.1014569,-4.4939094,-6.59563,-1.8562167,0.029442951,1.7728975,1.0623866,0.7345593,6.6941347,0.58377224,2.1465912,5.2472854,27.56706,0.4317308,495.97455,0.25516322,1302.6816,0.14274931,-59.213966,-1.4478198,1504.4874,0.15737455,1099.0266,0.31346938,-67.88016,-1.1229683,2589.9143,0.09210364,961.98206,0.40910706,-74.51151,-0.9679621,-16.80444,-0.30784252,27.741457,0.22491552,0.0070518996,4.2267413,-0.027240915,-0.46422586,0.2943658,0.6063121,26.081125,0.318913,11.507944,0.8289005,-2.856241,-3.5656247,-10.992116,-0.98621035,-10.872382,21.296404,-0.04093289,-0.0050161383,0.14480783,4.147239,2.3095822,0.30808508,0.2802213,0.11348837,0.11325795,-34.732666,44_CF37_3.wav,0
31.302532,0.09040849,29.217838,31.597857,33.34995,4.1321106,162.80965,312.79034,29.461159,48.39479,0.894768,0.7910097,0.32795444,0.7062783,1.3099267,0.98197234,15.4326725,9.263946,13.329984,9.56437,0.49481246,1.1032912,20.053648,0.8047941,5.50154,2.4530172,0.4256916,33.930466,-5.622935,-2.5663183,0.019302024,1.8376678,1.1570566,0.742615,6.3896785,0.58546424,1.636232,4.7426867,19.41641,0.4720859,438.1254,0.3175162,1182.0791,0.18937407,-55.59721,-1.5562427,1433.4991,0.15431671,876.0943,0.34284213,-61.252823,-1.2869948,2412.5974,0.102911204,745.7943,0.40660393,-63.85807,-1.209527,-12.141155,-0.5179308,20.031813,0.41048512,0.029954407,1.2486204,-0.02651566,-0.46718785,0.6047949,0.9566326,26.69686,0.40540937,4.137275,3.2586555,-0.13390651,-115.82662,-9.171827,-1.532607,-5.6687274,13.6757965,-0.029375508,-0.007919589,0.17405207,3.8736455,1.77747,0.40935066,0.3995625,0.14724638,0.18062599,-25.698536,04_CF57_3.wav,0
